,Iteración,Lista,Valor,Peso,Temperatura,Energy
0,0,00000,0,0,100,10
0,100,10110,47,12,90.47921471137093,0.8757915738200691
0,200,10010,27,7,81.86488294786366,0.8850133949040617
0,300,10000,12,4,74.07070321561004,1.1758689102684714
0,400,01100,30,11,67.01859060067416,1.1609194600859944
0,500,11000,22,10,60.63789448611864,1.4373619166220346
0,600,10001,30,11,54.864690748549855,1.727715066739056
0,700,10011,45,14,49.64114134311003,0.7392133363634625
0,800,11000,22,10,44.914914861007645,1.306264882609044
0,900,11010,37,13,40.63866225452056,0.4023378821421464
0,1000,01011,0,16,36.76954247709648,0.46696553700290455
0,1100,00011,33,10,33.26879328624084,0.6971892496870928
0,1200,00111,53,15,30.101342909339976,1.9433672883276343
0,1300,10101,0,16,27.23545868194774,1.0
0,1400,10011,45,14,24.6424291384662,1.6273696170668932
0,1500,01011,0,16,22.29627637029025,1.0
0,1600,00101,38,12,20.173495769715572,2.6950043441491753
0,1700,11100,42,15,18.252820552270283,0.33429846863363966
0,1800,00110,35,8,16.515008698369865,0.33624417148952546
0,1900,11100,42,15,14.942650179799651,3.8131310910542284
0,2000,10011,45,14,13.51999253974998,0.035850269180030384
0,2100,01001,28,13,12.232783079001704,0.4415449456016133
0,2200,01110,45,14,11.0681260672262,0.16414737585835174
0,2300,10110,47,12,10.014353548890806,0.13572379129110562
0,2400,00110,35,8,9.060908449456699,0.1910035728311502
0,2500,10110,47,12,8.198238810784677,0.003237549272104898
0,2600,10011,45,14,7.417702096160807,0.13236532106023421
0,2700,01110,45,14,6.711478606235196,0.0012248573918888462
0,2800,00111,53,15,6.072493138443265,0.08457173945385303
0,2900,00111,53,15,5.494344105065347,0.06521405992258837
0,3000,10110,47,12,4.971239399803627,0.04893040996886697
0,3100,00111,53,15,4.497938370364587,0.01828208976705305
0,3200,00111,53,15,4.069699315707309,2.2087691494808074e-06
0,3300,01110,45,14,3.6822319819660083,4.926662784834499e-06
0,3400,00111,53,15,3.3316545811337956,1.2337816538808577e-07
0,3500,00111,53,15,3.014454901905272,0.006901448096759727
0,3600,00111,53,15,2.7274551230723154,0.004088274857790839
0,3700,00111,53,15,2.4677799769608852,4.707033231676522e-10
0,3800,00111,53,15,2.2328279439586596,0.0012090284958482791
0,3900,00111,53,15,2.0202451895498448,5.0185297475832366e-05
0,4000,00111,53,15,1.8279019827489453,2.5564409842947826e-13
0,4100,00111,53,15,1.6538713596848245,1.2094528643314641e-14
0,4200,00111,53,15,1.4964098185791024,5.969840428705545e-06
0,4300,00111,53,15,1.3539398527142217,9.989290848794277e-18
0,4400,00111,53,15,1.2250341464001193,1.624201993855824e-19
0,4500,00111,53,15,1.1084012756089743,1.3264491532045822e-06
0,4600,00111,53,15,1.0028727700218178,1.1177053669333303e-23
